domain,date_found
shopifystatus.com,2026-05-15
help.shop,2026-05-15
accounts.shop,2026-05-15
admin.shop,2026-05-15
news.shop,2026-05-15
community.shop,2026-05-15
privacy.shop,2026-05-15
www.shop,2026-05-15
apps.shop,2026-05-15
investors.shop,2026-05-15
cdn.shop,2026-05-15
