domain,date_found,source_app,store_title,contact_email,social_links
shopify.dev,2026-05-16,Klaviyo,Shopify Dev Docs,,"https://twitter.com/shopifydevs, https://www.youtube.com/c/shopifydevs"
shopifystatus.com,2026-05-16,Klaviyo,Shopify Status,,
