domain,date_found
shopifystatus.com,2026-05-13
accounts.shopify.com,2026-05-13
admin.shopify.com,2026-05-13
schema.org,2026-05-13
www.shopify.com,2026-05-13
news.shopify.com,2026-05-13
community.shopify.com,2026-05-13
help.shopify.com,2026-05-13
investors.shopify.com,2026-05-13
privacy.shopify.com,2026-05-13
shopify.dev,2026-05-13
cdn.shopify.com,2026-05-13
apps.shopify.com,2026-05-13
www.googletagmanager.com,2026-05-13
